word,freq
wine , 5782
red , 3558
good , 4506
fruit , 3617
black , 2463
dark , 2788
medium , 2972
nice , 2800
nose , 2597
acidity , 2610
great , 2794
oak , 2004
good , 1661
fruit , 1279
tannins , 2134
white , 1203
palate , 1646
balanced , 1398
smooth , 1371
fresh , 1342
dry , 1374
light , 1458
fruits , 1575
cherry , 1796
sweet , 925
fruity , 1288
Portuguese , 884
dried , 873
vanilla , 1425
body , 1512
chocolate , 1270
aromas , 760
green , 749
Douro , 749
citrus , 993
Touriga , 681
bodied , 1043
complex , 651
soft , 645
deep , 1174
ruby , 635
plum , 1200
years , 582
value , 576
blend , 575
port , 801
rich , 557
deep , 530
elegant , 512
strong , 505
intense , 741
palate , 487
pleasant , 480
excellent , 744
balance , 466
mineral , 464
floral , 463
easy , 456
price , 691
lemon , 451
blackberry , 442